22:22:18.926 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:27:24.328 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:161 | RESUME :: state=AsyncProcessing
14:27:25.299 |E| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:161 | System.Threading.ThreadAbortException: Thread was being aborted.
  at (wrapper managed-to-native) System.Net.Sockets.Socket.Receive_icall(intptr,byte*,int,System.Net.Sockets.SocketFlags,int&,bool)
  at System.Net.Sockets.Socket.Receive_internal (System.Net.Sockets.SafeSocketHandle safeHandle, System.Byte* buffer, System.Int32 count, System.Net.Sockets.SocketFlags flags, System.Int32& error, System.Boolean blocking) [0x0000c] in <ab7fd9314e994e94ab88103bdb883392>:0 
  at System.Net.Sockets.Socket.Receive (System.Byte[] buffer, System.Int32 offset, System.Int32 size, System.Net.Sockets.SocketFlags socketFlags, System.Net.Sockets.SocketError& errorCode) [0x0002e] in <ab7fd9314e994e94ab88103bdb883392>:0 
  at System.Net.Sockets.Socket.Receive (System.Byte[] buffer, System.Int32 offset, System.Int32 size, System.Net.Sockets.SocketFlags socketFlags) [0x00000] in <ab7fd9314e994e94ab88103bdb883392>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiveFromSocket (System.Byte[] buffer, System.Int32 offset, System.Int32 size) [0x00006] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver, System.Int32 size) [0x000a1] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver) [0x00000] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiveFromPkgBuffer (System.Byte[] buffer, System.Int32 offset, System.Int32 size) [0x0003b] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver, System.Int32 size) [0x000a1] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.BufferWindow.Read (JetBrains.Rd.Impl.BufferWindow& helper, JetBrains.Rd.Impl.BufferWindow+Receiver receiver) [0x00000] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReadMsg () [0x00021] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiverProc (System.Net.Sockets.Socket socket) [0x0006c] in <430db715e7c649b38f82ebaf8e15cd26>:0 
14:27:25.302 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:161 | PAUSE ('Disconnected') :: state=AsyncProcessing
14:27:25.303 |E|                                | ServerSocket-UnityServer-Receiver:161 | System.Threading.ThreadAbortException: Thread was being aborted.
  at JetBrains.Rd.Impl.SocketWire+Base.ReceiverProc (System.Net.Sockets.Socket socket) [0x00163] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Rd.Impl.SocketWire+Base+<>c__DisplayClass19_0.<.ctor>b__1 (System.Net.Sockets.Socket socket) [0x0005c] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Collections.Viewable.SignalBase`1[T].Fire (T value) [0x00033] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
14:27:25.304 |E| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:161 | ServerSocket-UnityServer :: System.Threading.ThreadAbortException: Thread was being aborted.
  at JetBrains.Collections.Viewable.SignalBase`1[T].Fire (T value) [0x0004a] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
  at JetBrains.Collections.Viewable.ViewableProperty`1[T].set_Value (T value) [0x0004a] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
  at JetBrains.Rd.Impl.SocketWire+Server+<>c__DisplayClass4_0.<StartServerSocket>b__1 () [0x000f6] in <430db715e7c649b38f82ebaf8e15cd26>:0 
14:27:25.304 |E| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:161 | System.Threading.ThreadAbortException: Thread was being aborted.
  at JetBrains.Rd.Impl.SocketWire+Server+<>c__DisplayClass4_0.<StartServerSocket>b__1 () [0x0019b] in <430db715e7c649b38f82ebaf8e15cd26>:0 
  at JetBrains.Diagnostics.LogEx.Catch (JetBrains.Diagnostics.ILog log, System.Action action) [0x00000] in <6164fcd4dbdf43c6bfb52a09be0c742c>:0 
14:27:26.545 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:27:26.555 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:27:26.562 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:27:26.564 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:27:26.564 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:27:26.565 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 43331
14:27:26.566 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:167 | ServerSocket-UnityServer : accepting, port: 43331
14:27:28.208 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:27:28.209 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:27:28.210 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:27:28.210 |I| Launcher                       | :1                             | Subscribing for events
14:27:28.214 |I| Launcher                       | :1                             | Start running backend
14:27:28.296 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:27:28.296 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:27:28.374 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:167 | ServerSocket-UnityServer : accepted
14:27:28.374 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:167 | ServerSocket-UnityServer : connected
14:27:28.378 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:167 | RESUME :: state=AsyncProcessing
14:27:29.357 |V| Launcher                       | :1                             | Ready!
14:27:42.127 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:27:42.139 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:27:42.140 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:27:42.140 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:27:42.141 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:27:42.141 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:167 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:27:42.142 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:167 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1296
14:27:42.143 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:167 | ServerSocket-UnityServer: terminated.
14:27:42.143 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:27:43.679 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:27:43.689 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:27:43.696 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:27:43.698 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:27:43.698 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:27:43.698 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 40601
14:27:43.699 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:175 | ServerSocket-UnityServer : accepting, port: 40601
14:27:44.425 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:175 | ServerSocket-UnityServer : accepted
14:27:44.426 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:175 | ServerSocket-UnityServer : connected
14:27:44.430 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:175 | RESUME :: state=AsyncProcessing
14:27:45.321 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:27:45.323 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:27:45.323 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:27:45.324 |I| Launcher                       | :1                             | Subscribing for events
14:27:45.325 |I| Launcher                       | :1                             | Start running backend
14:27:45.518 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:27:45.518 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:27:46.180 |V| Launcher                       | :1                             | Ready!
14:27:46.923 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:27:46.933 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:27:46.934 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:27:46.935 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:27:46.935 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:27:46.935 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:175 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:27:46.936 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:175 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1082
14:27:46.937 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:175 | ServerSocket-UnityServer: terminated.
14:27:46.937 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:27:48.284 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:27:48.294 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:27:48.301 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:27:48.302 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:27:48.303 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:27:48.303 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 42623
14:27:48.304 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:181 | ServerSocket-UnityServer : accepting, port: 42623
14:27:48.445 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:181 | ServerSocket-UnityServer : accepted
14:27:48.445 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:181 | ServerSocket-UnityServer : connected
14:27:48.451 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:181 | RESUME :: state=AsyncProcessing
14:27:49.930 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:27:49.932 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:27:49.933 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:27:49.933 |I| Launcher                       | :1                             | Subscribing for events
14:27:49.938 |I| Launcher                       | :1                             | Start running backend
14:27:50.031 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:27:50.031 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:27:51.097 |V| Launcher                       | :1                             | Ready!
14:28:31.742 |V| JetBrains.Rd.Impl.SocketWire+Base | :1                             | closing server socket
14:28:31.750 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: start termination of lifetime
14:28:31.751 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: send buffer stopped, success: True
14:28:31.751 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: closing socket because of lifetime
14:28:31.751 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: waiting for receiver thread
14:28:31.751 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:181 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
14:28:31.752 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:181 | ServerSocket-UnityServer: Total traffic: sent 1279, received 1082
14:28:31.753 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:181 | ServerSocket-UnityServer: terminated.
14:28:31.753 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer: termination finished
14:28:33.075 |I| Launcher                       | :1                             | Checking if build hasn't expired.
14:28:33.085 |I| Launcher                       | :1                             | Starting RiderFlow frontend
14:28:33.092 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
14:28:33.093 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
14:28:33.094 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
14:28:33.094 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 43775
14:28:33.095 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:190 | ServerSocket-UnityServer : accepting, port: 43775
14:28:34.645 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:190 | ServerSocket-UnityServer : accepted
14:28:34.645 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:190 | ServerSocket-UnityServer : connected
14:28:34.650 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:190 | RESUME :: state=AsyncProcessing
14:28:34.757 |I| Launcher                       | :1                             | Creating Root ScriptableObject
14:28:34.759 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
14:28:34.760 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
14:28:34.760 |I| Launcher                       | :1                             | Subscribing for events
14:28:34.761 |I| Launcher                       | :1                             | Start running backend
14:28:34.848 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
14:28:34.848 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
14:28:35.961 |V| Launcher                       | :1                             | Ready!
13:24:35.441 |I| Launcher                       | :1                             | Checking if build hasn't expired.
13:24:35.453 |I| Launcher                       | :1                             | Starting RiderFlow frontend
13:24:35.462 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
13:24:35.465 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
13:24:35.473 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
13:24:35.474 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 34071
13:24:35.475 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:11 | ServerSocket-UnityServer : accepting, port: 34071
13:24:42.772 |I| Launcher                       | :1                             | Creating Root ScriptableObject
13:24:42.774 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in /home/olaf/.var/app/com.unity.UnityHub/config/RiderFlow. Trying to extract use guid...
13:24:42.774 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
13:24:42.774 |I| Launcher                       | :1                             | Subscribing for events
13:24:42.776 |I| Launcher                       | :1                             | Start running backend
13:24:43.002 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
13:24:43.011 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
13:24:44.101 |V| Launcher                       | :1                             | Ready!
13:24:53.133 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:11 | ServerSocket-UnityServer : accepted
13:24:53.134 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:11 | ServerSocket-UnityServer : connected
13:24:53.140 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | ServerSocket-UnityServer-Receiver:11 | RESUME :: state=AsyncProcessing
